Date;GOOGL;FB;AAPL;AMZN;WMT;COST;KO;MCD;BLK;JPM;BRK-A;BLDR;GM;TSLA;UNP;PFE;HRTX;XOM;CVX;PLUG
2017-01-03;800.6199951171875;116.02999877929688;28.950000762939453;757.9199829101562;69.23999786376953;160.64999389648438;41.5;121.86000061035156;384.6199951171875;87.33999633789062;246382.0;11.220000267028809;34.97999954223633;42.97200012207031;104.4800033569336;31.024667739868164;13.25;90.94000244140625;118.37999725341797;1.2000000476837158
2017-01-04;809.8900146484375;117.55000305175781;28.962499618530273;758.3900146484375;68.66000366210938;159.8000030517578;41.880001068115234;119.0;384.6499938964844;86.95999908447266;246600.0;11.75;35.599998474121094;42.95000076293945;102.88999938964844;31.43263816833496;13.449999809265137;91.12000274658203;118.41000366210938;1.2100000381469727
2017-01-05;807.5;118.86000061035156;28.979999542236328;761.5499877929688;68.43000030517578;160.9499969482422;41.65999984741211;119.33999633789062;384.9800109863281;86.80999755859375;245665.0;11.970000267028809;37.0099983215332;45.284000396728516;103.02999877929688;31.660341262817383;12.75;90.19000244140625;118.0;1.2999999523162842
2017-01-06;814.989990234375;120.9800033569336;29.19499969482422;782.3599853515625;68.41000366210938;162.6699981689453;41.70000076293945;118.93000030517578;383.57000732421875;86.38999938964844;245575.0;11.649999618530273;36.40999984741211;45.38600158691406;102.02999877929688;31.935483932495117;12.600000381469727;88.79000091552734;117.44999694824219;1.2799999713897705
2017-01-09;826.3699951171875;123.55000305175781;29.487499237060547;798.0;68.33000183105469;162.3300018310547;41.22999954223633;120.76000213623047;384.3500061035156;85.7300033569336;244990.0;11.300000190734863;36.119998931884766;45.79399871826172;103.7300033569336;31.717267990112305;13.199999809265137;88.22000122070312;116.29000091552734;1.2599999904632568
2017-01-10;827.0700073242188;124.81999969482422;29.6924991607666;796.5999755859375;68.63999938964844;160.5800018310547;41.439998626708984;120.45999908447266;381.7799987792969;86.06999969482422;243000.0;11.319999694824219;36.189998626708984;46.400001525878906;102.55999755859375;31.869070053100586;13.550000190734863;87.16999816894531;115.55999755859375;1.25
2017-01-11;826.6199951171875;124.3499984741211;29.684999465942383;793.6599731445312;68.19999694824219;161.47000122070312;40.849998474121094;120.93000030517578;379.6700134277344;86.43000030517578;242425.0;11.510000228881836;37.540000915527344;45.81399917602539;103.3499984741211;31.660341262817383;13.5;85.9000015258789;115.1500015258789;1.2400000095367432
2017-01-12;828.3800048828125;125.61000061035156;29.725000381469727;800.3099975585938;68.36000061035156;161.35000610351562;41.0099983215332;120.30000305175781;379.6199951171875;86.76000213623047;242920.0;11.510000228881836;38.0;45.8120002746582;104.2699966430664;30.863378524780273;12.5;87.2699966430664;116.5;1.2599999904632568
2017-01-13;831.0;127.48999786376953;29.77750015258789;814.3200073242188;67.9800033569336;161.99000549316406;41.0;122.23999786376953;378.69000244140625;87.11000061035156;242165.0;11.359999656677246;37.54999923706055;46.0;104.51000213623047;30.996204376220703;12.850000381469727;86.2699966430664;115.86000061035156;1.2200000286102295
2017-01-17;830.0;128.0399932861328;29.584999084472656;815.7000122070312;68.0999984741211;161.85000610351562;40.84000015258789;120.75;377.1000061035156;84.93000030517578;242300.0;11.609999656677246;37.34000015258789;47.34000015258789;104.69999694824219;30.69260025024414;12.800000190734863;86.58000183105469;116.4000015258789;1.2400000095367432
2017-01-18;829.7999877929688;128.41000366210938;30.0;809.5;67.87999725341797;163.64999389648438;41.25;122.80999755859375;376.1600036621094;83.62999725341797;240698.0;11.380000114440918;37.45000076293945;47.33000183105469;102.26000213623047;30.445920944213867;12.899999618530273;87.05999755859375;115.68000030517578;1.2300000190734863
2017-01-19;829.0;128.22999572753906;29.850000381469727;810.0;68.12999725341797;164.17999267578125;41.13999938964844;122.23999786376953;377.6700134277344;84.05999755859375;241000.0;11.260000228881836;37.630001068115234;49.45000076293945;108.20999908447266;30.417457580566406;13.199999809265137;85.97000122070312;115.88999938964844;1.2200000286102295
2017-01-20;829.0900268554688;128.10000610351562;30.112499237060547;815.280029296875;67.73999786376953;164.38999938964844;41.27000045776367;122.26000213623047;379.2799987792969;83.43000030517578;240280.0;11.050000190734863;37.41999816894531;49.09199905395508;106.83000183105469;30.094877243041992;13.800000190734863;85.44000244140625;116.31999969482422;1.190000057220459
2017-01-23;831.6099853515625;127.30999755859375;30.0;806.7999877929688;67.01000213623047;164.0500030517578;41.310001373291016;121.69000244140625;381.3399963378906;83.30000305175781;239500.0;10.84000015258789;37.0099983215332;49.16999816894531;108.63999938964844;30.056926727294922;13.149999618530273;85.68000030517578;115.12000274658203;1.1799999475479126
2017-01-24;846.97998046875;129.3800048828125;29.887500762939453;822.0;66.88999938964844;163.22999572753906;41.470001220703125;121.97000122070312;380.1000061035156;83.91999816894531;238900.0;10.989999771118164;36.70000076293945;50.0;108.1500015258789;29.791271209716797;12.899999618530273;84.9800033569336;115.8499984741211;1.159999966621399
2017-01-25;853.5499877929688;130.0;30.104999542236328;825.7899780273438;67.5199966430664;164.1999969482422;41.939998626708984;121.48999786376953;384.9800109863281;85.83999633789062;242840.0;11.800000190734863;37.709999084472656;51.46200180053711;109.29000091552734;29.753320693969727;13.050000190734863;85.33999633789062;116.9000015258789;1.159999966621399
2017-01-26;859.0499877929688;131.6300048828125;30.417499542236328;835.530029296875;67.12999725341797;164.33999633789062;42.029998779296875;121.86000061035156;382.54998779296875;85.94999694824219;247500.0;11.930000305175781;38.099998474121094;50.858001708984375;110.25;29.791271209716797;12.949999809265137;85.69000244140625;117.5;1.1299999952316284
